img_path,img_h,img_w,y,x,h,w,label
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_006135.jpg,300,300,0.41133335,0.782,0.75333333,0.94,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2008_006482.jpg,300,300,0.73043793,0.31,0.91,0.46600002,b'chair'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2008_006482.jpg,300,300,0.7703406,0.002,0.91,0.402,b'diningtable'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_005054.jpg,300,300,0.4573874,0.172,0.52873874,0.242,b'tvmonitor'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_005054.jpg,300,300,0.47324327,0.636,0.61,0.8539999,b'sofa'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_005054.jpg,300,300,0.52873874,0.002,0.61,0.196,b'sofa'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_005732.jpg,300,300,0.12533332,0.362,0.87333333,1.0,b'cat'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_004044.jpg,300,300,0.40933332,0.44,0.87333333,0.674,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_004044.jpg,300,300,0.49733338,0.204,0.87333333,0.42799997,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_003343.jpg,300,300,0.36733332,0.136,0.5873333,0.528,b'sheep'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_003343.jpg,300,300,0.38133335,0.65,0.71933335,1.0,b'sheep'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_002435.jpg,300,300,0.23533332,0.046,0.87333333,1.0,b'sofa'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_002435.jpg,300,300,0.4913333,0.306,0.87333333,1.0,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_002435.jpg,300,300,0.29933333,0.004,0.87333333,0.664,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2012_000947.jpg,300,300,0.004,0.3593333,0.9139999,0.8053334,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2012_002188.jpg,300,300,0.48301682,0.434,0.83666664,0.83,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2012_002188.jpg,300,300,0.37712166,0.212,0.65884274,0.4,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2012_002188.jpg,300,300,0.20329376,0.002,0.776726,0.264,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2012_002188.jpg,300,300,0.33716124,0.698,0.60889214,1.0,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_000222.jpg,300,300,0.24533333,0.29,0.8553333,0.686,b'bird'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2008_005821.jpg,300,300,0.12533332,0.002,0.78933334,0.876,b'bird'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2009_003838.jpg,300,300,0.6516966,0.684,0.7175648,0.754,b'car'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2009_003838.jpg,300,300,0.6976048,0.644,0.76347303,0.728,b'car'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2009_003838.jpg,300,300,0.6876247,0.002,0.75748503,0.05,b'car'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2009_003838.jpg,300,300,0.79341316,0.806,0.8333333,1.0,b'car'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_001128.jpg,300,300,0.27533334,0.17,0.8013333,1.0,b'cat'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_001540.jpg,300,300,0.002,0.12533332,1.0,0.87333333,b'bicycle'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_004050.jpg,300,300,0.47717947,0.475,0.7733333,0.66,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_002421.jpg,300,300,0.2104905,0.096,0.6885686,0.798,b'boat'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_005428.jpg,300,300,0.08,0.201239,0.522,0.40107912,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_002347.jpg,300,300,0.018,0.084,0.88,0.918,b'cat'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_002347.jpg,300,300,0.686,0.11,0.97,0.792,b'bird'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2008_007788.jpg,300,300,0.19133334,0.002,0.87333333,0.744,b'bird'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_003059.jpg,300,300,0.15933333,0.178,0.8053334,0.692,b'train'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2009_001949.jpg,300,300,0.54333335,0.014000001,0.66933334,0.9760001,b'boat'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2008_006496.jpg,300,300,0.41133335,0.42799997,0.7693333,0.69,b'cow'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2008_006496.jpg,300,300,0.35333332,0.278,0.59933335,0.46600002,b'cow'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2008_006496.jpg,300,300,0.22133334,0.556,0.3313333,0.626,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_004736.jpg,300,300,0.46333334,0.306,0.8513333,0.614,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2008_007950.jpg,300,300,0.256,0.40553397,0.708,0.7827185,b'sofa'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2008_007950.jpg,300,300,0.04,0.3955556,0.9660001,0.7707443,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2008_007950.jpg,300,300,0.24400002,0.31772384,0.526,0.48336568,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2008_007950.jpg,300,300,0.15,0.19199568,0.478,0.3516505,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_001896.jpg,300,300,0.51327324,0.464,0.8160561,0.776,b'bicycle'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_000550.jpg,300,300,0.33333334,0.252,0.8093333,1.0,b'sofa'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_000138.jpg,300,300,0.48933333,0.864,0.58133334,0.95,b'horse'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_000138.jpg,300,300,0.47933328,0.41,0.5973334,0.528,b'horse'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_000138.jpg,300,300,0.47333333,0.018,0.58933336,0.186,b'horse'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2009_004831.jpg,300,300,0.534,0.39733332,1.0,0.7973333,b'bicycle'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2009_004831.jpg,300,300,0.11800001,0.32933334,1.0,0.80333334,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2009_004831.jpg,300,300,0.324,0.7013333,0.412,0.7633333,b'bicycle'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2009_004831.jpg,300,300,0.284,0.36533332,0.392,0.40933332,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_006121.jpg,300,300,0.002,0.12533332,1.0,0.76533335,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2009_002298.jpg,300,300,0.2663259,0.028000003,0.71640044,0.94200003,b'bird'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_003419.jpg,300,300,0.18133333,0.002,0.83133334,1.0,b'bird'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2009_001961.jpg,300,300,0.16333333,0.192,0.5453333,0.714,b'tvmonitor'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2009_001961.jpg,300,300,0.29733333,0.754,0.7853333,1.0,b'sofa'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_005068.jpg,300,300,0.3013333,0.026,0.87333333,0.85,b'bird'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_000578.jpg,300,300,0.172,0.2413333,0.828,0.81733334,b'dog'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_001666.jpg,300,300,0.48333332,0.046,0.82133335,0.3,b'chair'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_000110.jpg,300,300,0.11800001,0.35590592,0.84,0.83,b'dog'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_000110.jpg,300,300,0.002,0.29216218,0.776,0.83,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_001100.jpg,300,300,0.37133333,0.3,0.7673333,0.702,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_001100.jpg,300,300,0.63933337,0.356,0.66533333,0.398,b'car'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2009_003810.jpg,300,300,0.29133335,0.154,0.81533337,0.9760001,b'dog'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_006207.jpg,300,300,0.29133335,0.46600002,0.7133333,0.658,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_006207.jpg,300,300,0.28933334,0.68,0.71933335,0.784,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_002409.jpg,300,300,0.16865866,0.232,0.40172172,0.504,b'cat'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_004404.jpg,300,300,0.25,0.30013013,0.766,0.71844846,b'aeroplane'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_005372.jpg,300,300,0.566,0.56333333,0.712,0.6293333,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2009_003804.jpg,300,300,0.192,0.37333333,0.88400006,0.79333335,b'horse'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_001114.jpg,300,300,0.40933332,0.158,0.5793333,0.88,b'aeroplane'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_006213.jpg,300,300,0.28676566,0.5375587,0.57029706,0.64788735,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_006575.jpg,300,300,0.30933335,0.062000003,0.87333333,0.396,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_006575.jpg,300,300,0.41933334,0.318,0.87333333,0.752,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_006575.jpg,300,300,0.25333333,0.67,0.87333333,0.908,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_001672.jpg,300,300,0.18133333,0.054,0.8193333,0.358,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_004362.jpg,300,300,0.26133335,0.296,0.79933333,0.806,b'dog'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_004362.jpg,300,300,0.22133334,0.274,0.53333336,0.592,b'dog'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_004362.jpg,300,300,0.12533332,0.672,0.28533337,0.842,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_005414.jpg,300,300,0.5933333,0.598,0.87333333,0.794,b'person'
